Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,27.84749985,27.86000061,26.83749962,27.33250046,24.37395859,212818400
2015-01-05,27.07250023,27.16250038,26.35250092,26.5625,23.68731308,257142000
2015-01-06,26.63500023,26.85750008,26.15749931,26.56500053,23.68953514,263188400
2015-01-07,26.79999924,27.04999924,26.67499924,26.9375,24.02171135,160423600
2015-01-08,27.30750084,28.03750038,27.17499924,27.97249985,24.94467926,237458000
2015-01-09,28.16749954,28.3125,27.55249977,28.00250053,24.97143555,214798000
2015-01-12,28.14999962,28.15749931,27.20000076,27.3125,24.35612106,198603200
2015-01-13,27.85750008,28.20000076,27.22750092,27.55500031,24.57237816,268367600
2015-01-14,27.26000023,27.62249947,27.125,27.45000076,24.47874069,195826400
2015-01-15,27.5,27.51499939,26.66500092,26.70499992,23.81437683,240056000
2015-01-16,26.75749969,26.89500046,26.29999924,26.49749947,23.62934113,314053200
2015-01-20,26.95999908,27.24250031,26.625,27.18000031,24.23796844,199599600
2015-01-21,27.23749924,27.76499939,27.06749916,27.38750076,24.42301178,194303600
2015-01-22,27.56500053,28.11750031,27.43000031,28.10000038,25.0583744,215185600
2015-01-23,28.07500076,28.4375,27.88249969,28.24500084,25.18768883,185859200
2015-01-26,28.43499947,28.59000015,28.20000076,28.27499962,25.2144413,222460000
2015-01-27,28.10499954,28.12000084,27.25749969,27.28499985,24.33159447,382274800
2015-01-28,29.40749931,29.53000069,28.82749939,28.82749939,25.70713425,585908400
2015-01-29,29.07999992,29.79750061,28.88999939,29.72500038,26.50749016,337745600
2015-01-30,29.60000038,30,29.21249962,29.29000092,26.1195755,334982000
2015-02-02,29.51250076,29.79249954,29.02000046,29.65749931,26.44729805,250956400
2015-02-03,29.625,29.77249908,29.40250015,29.66250038,26.4517498,207662800
2015-02-04,29.625,30.12750053,29.57749939,29.88999939,26.65462875,280598800
2015-02-05,30.00499916,30.05750084,29.8125,29.98500061,26.84487534,168984800
2015-02-06,30.00499916,30.0625,29.61249924,29.73250008,26.61881447,174826400
2015-02-09,29.63750076,29.95999908,29.60750008,29.93000031,26.79563332,155559200
2015-02-10,30.04249954,30.53750038,30.04000092,30.50499916,27.31041718,248034000
2015-02-11,30.69249916,31.22999954,30.625,31.21999931,27.95054054,294247200
2015-02-12,31.51499939,31.87000084,31.39249992,31.61499977,28.30417633,297898000
2015-02-13,31.81999969,31.81999969,31.41250038,31.77000046,28.44294548,217088800
